Study,logpfshr,sd_lpfsHR1
1,0.019802627,0.711261261
2,-0.274436846,0.133389835
3,-0.46203546,0.154135407
4,-0.210721031,0.06885831
5,-0.105360516,0.079122609
6,-0.342490309,0.106352414
7,-0.494296322,0.108590724
8,-0.287682072,0.084122282
9,-0.46203546,0.20279196
10,-0.314710745,0.100485827
11,-0.527632742,0.147219385
12,-0.15082289,0.093809066
13,-0.223143551,0.104741774
14,-0.116533816,0.085836332
15,-0.094310679,0.101162141
16,-0.061875404,0.089045263
17,0.09531018,0.120263199
18,-0.314710745,0.110543374
19,0.131028262,0.138963568
20,-0.314710745,0.100431009
21,0.173953307,0.184396998
22,-0.162518929,0.092423366
23,-0.030459207,0.086280382
24,-0.051293294,0.131901048
25,-0.15082289,0.12647879
26,-0.301105093,0.132986353
27,-0.776528789,0.126027445
